week,visibility,seed,n_readers,n_nonreaders,reading_rate,nonreading_rate,visibility_condition
1,1.0,0,30,0,1.0,0.0,high
2,1.0,0,30,0,1.0,0.0,high
3,1.0,0,29,1,0.9666666666666667,0.03333333333333333,high
4,1.0,0,27,3,0.9,0.1,high
5,1.0,0,26,4,0.8666666666666667,0.13333333333333333,high
6,1.0,0,25,5,0.8333333333333334,0.16666666666666666,high
7,1.0,0,23,7,0.7666666666666667,0.23333333333333334,high
8,1.0,0,22,8,0.7333333333333333,0.26666666666666666,high
9,1.0,0,18,12,0.6,0.4,high
10,1.0,0,9,21,0.3,0.7,high
11,1.0,0,0,30,0.0,1.0,high
12,1.0,0,0,30,0.0,1.0,high
13,1.0,0,0,30,0.0,1.0,high
14,1.0,0,0,30,0.0,1.0,high
15,1.0,0,0,30,0.0,1.0,high
16,1.0,0,0,30,0.0,1.0,high
17,1.0,0,0,30,0.0,1.0,high
18,1.0,0,0,30,0.0,1.0,high
19,1.0,0,0,30,0.0,1.0,high
20,1.0,0,0,30,0.0,1.0,high
1,1.0,1,30,0,1.0,0.0,high
2,1.0,1,29,1,0.9666666666666667,0.03333333333333333,high
3,1.0,1,27,3,0.9,0.1,high
4,1.0,1,27,3,0.9,0.1,high
5,1.0,1,26,4,0.8666666666666667,0.13333333333333333,high
6,1.0,1,25,5,0.8333333333333334,0.16666666666666666,high
7,1.0,1,24,6,0.8,0.2,high
8,1.0,1,21,9,0.7,0.3,high
9,1.0,1,17,13,0.5666666666666667,0.43333333333333335,high
10,1.0,1,8,22,0.26666666666666666,0.7333333333333333,high
11,1.0,1,0,30,0.0,1.0,high
12,1.0,1,0,30,0.0,1.0,high
13,1.0,1,0,30,0.0,1.0,high
14,1.0,1,0,30,0.0,1.0,high
15,1.0,1,0,30,0.0,1.0,high
16,1.0,1,0,30,0.0,1.0,high
17,1.0,1,0,30,0.0,1.0,high
18,1.0,1,0,30,0.0,1.0,high
19,1.0,1,0,30,0.0,1.0,high
20,1.0,1,0,30,0.0,1.0,high
1,1.0,2,30,0,1.0,0.0,high
2,1.0,2,29,1,0.9666666666666667,0.03333333333333333,high
3,1.0,2,25,5,0.8333333333333334,0.16666666666666666,high
4,1.0,2,25,5,0.8333333333333334,0.16666666666666666,high
5,1.0,2,24,6,0.8,0.2,high
6,1.0,2,22,8,0.7333333333333333,0.26666666666666666,high
7,1.0,2,17,13,0.5666666666666667,0.43333333333333335,high
8,1.0,2,8,22,0.26666666666666666,0.7333333333333333,high
9,1.0,2,0,30,0.0,1.0,high
10,1.0,2,0,30,0.0,1.0,high
11,1.0,2,0,30,0.0,1.0,high
12,1.0,2,0,30,0.0,1.0,high
13,1.0,2,0,30,0.0,1.0,high
14,1.0,2,0,30,0.0,1.0,high
15,1.0,2,0,30,0.0,1.0,high
16,1.0,2,0,30,0.0,1.0,high
17,1.0,2,0,30,0.0,1.0,high
18,1.0,2,0,30,0.0,1.0,high
19,1.0,2,0,30,0.0,1.0,high
20,1.0,2,0,30,0.0,1.0,high
1,1.0,3,30,0,1.0,0.0,high
2,1.0,3,28,2,0.9333333333333333,0.06666666666666667,high
3,1.0,3,27,3,0.9,0.1,high
4,1.0,3,26,4,0.8666666666666667,0.13333333333333333,high
5,1.0,3,25,5,0.8333333333333334,0.16666666666666666,high
6,1.0,3,22,8,0.7333333333333333,0.26666666666666666,high
7,1.0,3,15,15,0.5,0.5,high
8,1.0,3,7,23,0.23333333333333334,0.7666666666666667,high
9,1.0,3,0,30,0.0,1.0,high
10,1.0,3,0,30,0.0,1.0,high
11,1.0,3,0,30,0.0,1.0,high
12,1.0,3,0,30,0.0,1.0,high
13,1.0,3,0,30,0.0,1.0,high
14,1.0,3,0,30,0.0,1.0,high
15,1.0,3,0,30,0.0,1.0,high
16,1.0,3,0,30,0.0,1.0,high
17,1.0,3,0,30,0.0,1.0,high
18,1.0,3,0,30,0.0,1.0,high
19,1.0,3,0,30,0.0,1.0,high
20,1.0,3,0,30,0.0,1.0,high
1,1.0,4,30,0,1.0,0.0,high
2,1.0,4,30,0,1.0,0.0,high
3,1.0,4,30,0,1.0,0.0,high
4,1.0,4,30,0,1.0,0.0,high
5,1.0,4,27,3,0.9,0.1,high
6,1.0,4,24,6,0.8,0.2,high
7,1.0,4,22,8,0.7333333333333333,0.26666666666666666,high
8,1.0,4,17,13,0.5666666666666667,0.43333333333333335,high
9,1.0,4,9,21,0.3,0.7,high
10,1.0,4,2,28,0.06666666666666667,0.9333333333333333,high
11,1.0,4,0,30,0.0,1.0,high
12,1.0,4,0,30,0.0,1.0,high
13,1.0,4,0,30,0.0,1.0,high
14,1.0,4,0,30,0.0,1.0,high
15,1.0,4,0,30,0.0,1.0,high
16,1.0,4,0,30,0.0,1.0,high
17,1.0,4,0,30,0.0,1.0,high
18,1.0,4,0,30,0.0,1.0,high
19,1.0,4,0,30,0.0,1.0,high
20,1.0,4,0,30,0.0,1.0,high
1,1.0,5,30,0,1.0,0.0,high
2,1.0,5,27,3,0.9,0.1,high
3,1.0,5,25,5,0.8333333333333334,0.16666666666666666,high
4,1.0,5,23,7,0.7666666666666667,0.23333333333333334,high
5,1.0,5,18,12,0.6,0.4,high
6,1.0,5,14,16,0.4666666666666667,0.5333333333333333,high
7,1.0,5,8,22,0.26666666666666666,0.7333333333333333,high
8,1.0,5,0,30,0.0,1.0,high
9,1.0,5,0,30,0.0,1.0,high
10,1.0,5,0,30,0.0,1.0,high
11,1.0,5,0,30,0.0,1.0,high
12,1.0,5,0,30,0.0,1.0,high
13,1.0,5,0,30,0.0,1.0,high
14,1.0,5,0,30,0.0,1.0,high
15,1.0,5,0,30,0.0,1.0,high
16,1.0,5,0,30,0.0,1.0,high
17,1.0,5,0,30,0.0,1.0,high
18,1.0,5,0,30,0.0,1.0,high
19,1.0,5,0,30,0.0,1.0,high
20,1.0,5,0,30,0.0,1.0,high
1,1.0,6,30,0,1.0,0.0,high
2,1.0,6,29,1,0.9666666666666667,0.03333333333333333,high
3,1.0,6,29,1,0.9666666666666667,0.03333333333333333,high
4,1.0,6,27,3,0.9,0.1,high
5,1.0,6,27,3,0.9,0.1,high
6,1.0,6,24,6,0.8,0.2,high
7,1.0,6,23,7,0.7666666666666667,0.23333333333333334,high
8,1.0,6,21,9,0.7,0.3,high
9,1.0,6,17,13,0.5666666666666667,0.43333333333333335,high
10,1.0,6,7,23,0.23333333333333334,0.7666666666666667,high
11,1.0,6,0,30,0.0,1.0,high
12,1.0,6,0,30,0.0,1.0,high
13,1.0,6,0,30,0.0,1.0,high
14,1.0,6,0,30,0.0,1.0,high
15,1.0,6,0,30,0.0,1.0,high
16,1.0,6,0,30,0.0,1.0,high
17,1.0,6,0,30,0.0,1.0,high
18,1.0,6,0,30,0.0,1.0,high
19,1.0,6,0,30,0.0,1.0,high
20,1.0,6,0,30,0.0,1.0,high
1,1.0,7,30,0,1.0,0.0,high
2,1.0,7,26,4,0.8666666666666667,0.13333333333333333,high
3,1.0,7,23,7,0.7666666666666667,0.23333333333333334,high
4,1.0,7,19,11,0.6333333333333333,0.36666666666666664,high
5,1.0,7,14,16,0.4666666666666667,0.5333333333333333,high
6,1.0,7,3,27,0.1,0.9,high
7,1.0,7,0,30,0.0,1.0,high
8,1.0,7,0,30,0.0,1.0,high
9,1.0,7,0,30,0.0,1.0,high
10,1.0,7,0,30,0.0,1.0,high
11,1.0,7,0,30,0.0,1.0,high
12,1.0,7,0,30,0.0,1.0,high
13,1.0,7,0,30,0.0,1.0,high
14,1.0,7,0,30,0.0,1.0,high
15,1.0,7,0,30,0.0,1.0,high
16,1.0,7,0,30,0.0,1.0,high
17,1.0,7,0,30,0.0,1.0,high
18,1.0,7,0,30,0.0,1.0,high
19,1.0,7,0,30,0.0,1.0,high
20,1.0,7,0,30,0.0,1.0,high
1,1.0,8,30,0,1.0,0.0,high
2,1.0,8,29,1,0.9666666666666667,0.03333333333333333,high
3,1.0,8,29,1,0.9666666666666667,0.03333333333333333,high
4,1.0,8,28,2,0.9333333333333333,0.06666666666666667,high
5,1.0,8,27,3,0.9,0.1,high
6,1.0,8,25,5,0.8333333333333334,0.16666666666666666,high
7,1.0,8,24,6,0.8,0.2,high
8,1.0,8,21,9,0.7,0.3,high
9,1.0,8,20,10,0.6666666666666666,0.3333333333333333,high
10,1.0,8,18,12,0.6,0.4,high
11,1.0,8,11,19,0.36666666666666664,0.6333333333333333,high
12,1.0,8,4,26,0.13333333333333333,0.8666666666666667,high
13,1.0,8,0,30,0.0,1.0,high
14,1.0,8,0,30,0.0,1.0,high
15,1.0,8,0,30,0.0,1.0,high
16,1.0,8,0,30,0.0,1.0,high
17,1.0,8,0,30,0.0,1.0,high
18,1.0,8,0,30,0.0,1.0,high
19,1.0,8,0,30,0.0,1.0,high
20,1.0,8,0,30,0.0,1.0,high
1,1.0,9,30,0,1.0,0.0,high
2,1.0,9,30,0,1.0,0.0,high
3,1.0,9,29,1,0.9666666666666667,0.03333333333333333,high
4,1.0,9,28,2,0.9333333333333333,0.06666666666666667,high
5,1.0,9,28,2,0.9333333333333333,0.06666666666666667,high
6,1.0,9,26,4,0.8666666666666667,0.13333333333333333,high
7,1.0,9,24,6,0.8,0.2,high
8,1.0,9,20,10,0.6666666666666666,0.3333333333333333,high
9,1.0,9,14,16,0.4666666666666667,0.5333333333333333,high
10,1.0,9,5,25,0.16666666666666666,0.8333333333333334,high
11,1.0,9,0,30,0.0,1.0,high
12,1.0,9,0,30,0.0,1.0,high
13,1.0,9,0,30,0.0,1.0,high
14,1.0,9,0,30,0.0,1.0,high
15,1.0,9,0,30,0.0,1.0,high
16,1.0,9,0,30,0.0,1.0,high
17,1.0,9,0,30,0.0,1.0,high
18,1.0,9,0,30,0.0,1.0,high
19,1.0,9,0,30,0.0,1.0,high
20,1.0,9,0,30,0.0,1.0,high
1,1.0,10,30,0,1.0,0.0,high
2,1.0,10,30,0,1.0,0.0,high
3,1.0,10,29,1,0.9666666666666667,0.03333333333333333,high
4,1.0,10,28,2,0.9333333333333333,0.06666666666666667,high
5,1.0,10,28,2,0.9333333333333333,0.06666666666666667,high
6,1.0,10,28,2,0.9333333333333333,0.06666666666666667,high
7,1.0,10,26,4,0.8666666666666667,0.13333333333333333,high
8,1.0,10,26,4,0.8666666666666667,0.13333333333333333,high
9,1.0,10,25,5,0.8333333333333334,0.16666666666666666,high
10,1.0,10,24,6,0.8,0.2,high
11,1.0,10,22,8,0.7333333333333333,0.26666666666666666,high
12,1.0,10,17,13,0.5666666666666667,0.43333333333333335,high
13,1.0,10,11,19,0.36666666666666664,0.6333333333333333,high
14,1.0,10,3,27,0.1,0.9,high
15,1.0,10,0,30,0.0,1.0,high
16,1.0,10,0,30,0.0,1.0,high
17,1.0,10,0,30,0.0,1.0,high
18,1.0,10,0,30,0.0,1.0,high
19,1.0,10,0,30,0.0,1.0,high
20,1.0,10,0,30,0.0,1.0,high
1,1.0,11,30,0,1.0,0.0,high
2,1.0,11,27,3,0.9,0.1,high
3,1.0,11,25,5,0.8333333333333334,0.16666666666666666,high
4,1.0,11,24,6,0.8,0.2,high
5,1.0,11,22,8,0.7333333333333333,0.26666666666666666,high
6,1.0,11,19,11,0.6333333333333333,0.36666666666666664,high
7,1.0,11,14,16,0.4666666666666667,0.5333333333333333,high
8,1.0,11,6,24,0.2,0.8,high
9,1.0,11,0,30,0.0,1.0,high
10,1.0,11,0,30,0.0,1.0,high
11,1.0,11,0,30,0.0,1.0,high
12,1.0,11,0,30,0.0,1.0,high
13,1.0,11,0,30,0.0,1.0,high
14,1.0,11,0,30,0.0,1.0,high
15,1.0,11,0,30,0.0,1.0,high
16,1.0,11,0,30,0.0,1.0,high
17,1.0,11,0,30,0.0,1.0,high
18,1.0,11,0,30,0.0,1.0,high
19,1.0,11,0,30,0.0,1.0,high
20,1.0,11,0,30,0.0,1.0,high
1,1.0,12,30,0,1.0,0.0,high
2,1.0,12,29,1,0.9666666666666667,0.03333333333333333,high
3,1.0,12,29,1,0.9666666666666667,0.03333333333333333,high
4,1.0,12,27,3,0.9,0.1,high
5,1.0,12,25,5,0.8333333333333334,0.16666666666666666,high
6,1.0,12,24,6,0.8,0.2,high
7,1.0,12,24,6,0.8,0.2,high
8,1.0,12,22,8,0.7333333333333333,0.26666666666666666,high
9,1.0,12,19,11,0.6333333333333333,0.36666666666666664,high
